exercice;département;commune rurale;commune touristique;tranche revenu par habitant;commune;agrégat; montant ;population; montant par habitant 
2023;Calvados;Oui;Non;3;Colomby-Anguerny;Achats et charges externes; 88 368,03 € ;1276; 69,25 € 
2023;Calvados;Oui;Non;1;Balleroy-sur-Drôme;Achats et charges externes; 341 381,23 € ;1421; 240,24 € 
2023;Calvados;Oui;Non;1;Caumont-sur-Aure;Achats et charges externes; 721 805,41 € ;2420; 298,27 € 
2023;Calvados;Oui;Non;1;Méry-Bissières-en-Auge;Achats et charges externes; 259 221,95 € ;1091; 237,60 € 
2023;Calvados;Oui;Non;1;Aurseulles;Achats et charges externes; 256 161,01 € ;1921; 133,35 € 
2023;Calvados;Oui;Non;2;Valambray;Achats et charges externes; 304 237,41 € ;1739; 174,95 € 
2023;Calvados;Oui;Non;2;Val d'Arry;Achats et charges externes; 336 474,19 € ;2446; 137,56 € 
2023;Calvados;Oui;Non;2;Moulins-en-Bessin;Achats et charges externes; 188 920,85 € ;1114; 169,59 € 
2023;Calvados;Oui;Non;2;Ponts sur Seulles;Achats et charges externes; 80 593,36 € ;1238; 65,10 € 
2023;Calvados;Oui;Non;1;Laize-Clinchamps;Achats et charges externes; 359 655,38 € ;2161; 166,43 € 
2023;Calvados;Oui;Non;1;Creully sur Seulles;Achats et charges externes; 366 118,76 € ;2322; 157,67 € 
2023;Calvados;Oui;Non;1;Dialan sur Chaîne;Achats et charges externes; 173 813,63 € ;1039; 167,29 € 
2023;Calvados;Oui;Non;1;Seulline;Achats et charges externes; 162 702,38 € ;1334; 121,97 € 
2023;Calvados;Oui;Non;2;Le Castelet;Achats et charges externes; 266 739,77 € ;1737; 153,56 € 
2023;Calvados;Oui;Non;1;Cesny-les-Sources;Achats et charges externes; 124 615,88 € ;1384; 90,04 € 
2023;Calvados;Oui;Non;2;Cambremer;Achats et charges externes; 517 668,42 € ;1358; 381,20 € 
2023;Calvados;Oui;Non;1;Castine-en-Plaine;Achats et charges externes; 337 139,10 € ;1732; 194,65 € 
2023;Calvados;Oui;Non;2;Amayé-sur-Orne;Achats et charges externes; 197 488,91 € ;1088; 181,52 € 
2023;Calvados;Oui;Non;2;Amfreville;Achats et charges externes; 360 199,95 € ;1397; 257,84 € 
2023;Calvados;Oui;Non;2;Audrieu;Achats et charges externes; 164 813,80 € ;1145; 143,94 € 
2023;Calvados;Oui;Non;2;Authie;Achats et charges externes; 360 067,04 € ;1714; 210,07 € 
2023;Calvados;Oui;Non;2;Basly;Achats et charges externes; 62 469,69 € ;1082; 57,74 € 
2023;Calvados;Oui;Non;2;Bavent;Achats et charges externes; 422 961,31 € ;1946; 217,35 € 
2023;Calvados;Oui;Non;1;Bourguébus;Achats et charges externes; 492 547,62 € ;2330; 211,39 € 
2023;Calvados;Oui;Non;1;Bretteville-sur-Laize;Achats et charges externes; 269 875,27 € ;1937; 139,33 € 
2023;Calvados;Oui;Non;2;Le Breuil-en-Auge;Achats et charges externes; 81 969,31 € ;1016; 80,68 € 
2023;Calvados;Oui;Non;1;Cahagnes;Achats et charges externes; 313 110,68 € ;1421; 220,35 € 
2023;Calvados;Oui;Non;3;Cambes-en-Plaine;Achats et charges externes; 287 473,28 € ;1766; 162,78 € 
2023;Calvados;Oui;Non;1;Clécy;Achats et charges externes; 225 570,77 € ;1319; 171,02 € 
2023;Calvados;Oui;Non;2;Cresserons;Achats et charges externes; 233 709,94 € ;1126; 207,56 € 
2023;Calvados;Oui;Non;2;Éterville;Achats et charges externes; 272 588,66 € ;1670; 163,23 € 
2023;Calvados;Oui;Non;2;Feuguerolles-Bully;Achats et charges externes; 200 414,81 € ;1464; 136,90 € 
2023;Calvados;Oui;Non;1;Fontenay-le-Marmion;Achats et charges externes; 397 109,46 € ;1960; 202,61 € 
2023;Calvados;Oui;Non;2;Fontenay-le-Pesnel;Achats et charges externes; 122 664,16 € ;1215; 100,96 € 
2023;Calvados;Oui;Non;2;Grandcamp-Maisy;Achats et charges externes; 376 135,19 € ;1555; 241,89 € 
2023;Calvados;Oui;Non;2;Maltot;Achats et charges externes; 106 319,47 € ;1040; 102,23 € 
2023;Calvados;Oui;Non;1;Moyaux;Achats et charges externes; 523 673,29 € ;1371; 381,96 € 
2023;Calvados;Oui;Non;3;Saint-Contest;Achats et charges externes; 425 994,19 € ;2564; 166,14 € 
2023;Calvados;Oui;Non;2;Saint-Gatien-des-Bois;Achats et charges externes; 310 815,07 € ;1376; 225,88 € 
2023;Calvados;Oui;Non;2;Sainte-Honorine-du-Fay;Achats et charges externes; 205 775,82 € ;1362; 151,08 € 
2023;Calvados;Oui;Non;2;Saint-Manvieu-Norrey;Achats et charges externes; 141 210,78 € ;2116; 66,73 € 
2023;Calvados;Oui;Non;1;Saint-Sylvain;Achats et charges externes; 144 749,96 € ;1470; 98,47 € 
