SECTION,COMPTE,LIBELLE,CATEGORIE,PREVISIONS_2024,REALISATIONS_2024,PROPOSITIONS_2025,TAUX_EXECUTION_2024,EVOLUTION_2024_2025_ABSOLUE,EVOLUTION_2024_2025_RELATIVE
DEPENSES,1641,Emprunts en euros,REMBOURSEMENT D'EMPRUNTS ET DETTES,75418.56,75423.15,80500.00,100.01,5081.44,6.74
DEPENSES,165,Dépôts et cautionnements reçus,REMBOURSEMENT D'EMPRUNTS ET DETTES,1500.00,1160.00,2000.00,77.33,500.00,33.33
DEPENSES,2031,Frais d'études,IMMOBILISATIONS INCORPORELLES,80920.61,7200.00,152638.56,8.90,71717.95,88.64
DEPENSES,2031-0030,Frais d'études de recherche et de développeme,IMMOBILISATIONS INCORPORELLES,147002.87,19560.00,127442.87,13.31,-19560.00,-13.31
DEPENSES,2031-2021004,Frais d'études de recherche et de développeme,IMMOBILISATIONS INCORPORELLES,19494.69,12546.72,6947.97,64.36,-12546.72,-64.36
DEPENSES,2051,Concessions et droits similaires,IMMOBILISATIONS INCORPORELLES,6000.00,2082.05,3000.00,34.70,-3000.00,-50.00
DEPENSES,2041512,Groupements de collectivités EPL et des colle,SUBVENTIONS D'EQUIPEMENT VERSEES,0.00,0.00,50000.00,0.00,50000.00,0.00
DEPENSES,2111,Terrains nus,IMMOBILISATIONS CORPORELLES,0.00,0.00,217029.00,0.00,217029.00,0.00
DEPENSES,2111-2021008,Terrains nus,IMMOBILISATIONS CORPORELLES,10000.00,0.00,0.00,0.00,-10000.00,-100.00
DEPENSES,2113,Terrains aménagés autres que voirie,IMMOBILISATIONS CORPORELLES,30000.00,0.00,0.00,0.00,-30000.00,-100.00
DEPENSES,2113-2021004,Terrains aménagés autres que voirie,IMMOBILISATIONS CORPORELLES,99570.36,56663.71,42906.65,56.92,-56663.71,-56.92
DEPENSES,212,Agencement et aménagement de terrains,IMMOBILISATIONS CORPORELLES,0.00,0.00,0.00,0.00,0.00,0.00
DEPENSES,2121-2021004,Plantations d'arbres et d'arbustes,IMMOBILISATIONS CORPORELLES,0.00,10175.91,0.00,0.00,0.00,0.00
DEPENSES,2128,Agencement et aménagement de terrains,IMMOBILISATIONS CORPORELLES,0.00,0.00,0.00,0.00,0.00,0.00
DEPENSES,2128-2021004,Autres agencements et aménagements,IMMOBILISATIONS CORPORELLES,0.00,1105.20,0.00,0.00,0.00,0.00
DEPENSES,2131,Bâtiments publics,IMMOBILISATIONS CORPORELLES,0.00,0.00,0.00,0.00,0.00,0.00
DEPENSES,21311,Bâtiments publics,IMMOBILISATIONS CORPORELLES,0.00,0.00,0.00,0.00,0.00,0.00
DEPENSES,2131B,Autres bâtiments publics,IMMOBILISATIONS CORPORELLES,0.00,15199.69,0.00,0.00,0.00,0.00
DEPENSES,2131B-0029,Bâtiments publics,IMMOBILISATIONS CORPORELLES,0.00,0.00,0.00,0.00,0.00,0.00
DEPENSES,2132,Bâtiments privés,IMMOBILISATIONS CORPORELLES,0.00,0.00,0.00,0.00,0.00,0.00
DEPENSES,21328,Autres bâtiments privés,IMMOBILISATIONS CORPORELLES,0.00,0.00,0.00,0.00,0.00,0.00
DEPENSES,2138,Autres constructions,IMMOBILISATIONS CORPORELLES,0.00,0.00,0.00,0.00,0.00,0.00
DEPENSES,2138-2021004,Autres constructions,IMMOBILISATIONS CORPORELLES,0.00,3816.52,0.00,0.00,0.00,0.00
DEPENSES,2151,Réseaux de voirie,IMMOBILISATIONS CORPORELLES,0.00,40878.84,0.00,0.00,0.00,0.00
DEPENSES,2151-0019,Réseaux de voirie,IMMOBILISATIONS CORPORELLES,0.00,0.00,0.00,0.00,0.00,0.00
DEPENSES,2151-2020003,Réseaux de voirie,IMMOBILISATIONS CORPORELLES,0.00,0.00,0.00,0.00,0.00,0.00
DEPENSES,2151-2021004,Réseaux de voirie,IMMOBILISATIONS CORPORELLES,0.00,0.00,0.00,0.00,0.00,0.00
DEPENSES,2152,Installations de voirie,IMMOBILISATIONS CORPORELLES,0.00,6469.93,0.00,0.00,0.00,0.00
DEPENSES,2152-2021004,Installations de voirie,IMMOBILISATIONS CORPORELLES,0.00,0.00,0.00,0.00,0.00,0.00
DEPENSES,2153,Réseaux divers,IMMOBILISATIONS CORPORELLES,0.00,0.00,25000.00,0.00,25000.00,0.00
DEPENSES,21588,Autres réseaux,IMMOBILISATIONS CORPORELLES,236244.04,71562.66,162920.05,30.28,-73323.99,-31.03
DEPENSES,21588-2021004,Autres réseaux,IMMOBILISATIONS CORPORELLES,67009.73,0.00,64147.73,0.00,-2862.00,-4.27
DEPENSES,21721,Plantations d'arbres et d'arbustes,IMMOBILISATIONS CORPORELLES,0.00,0.00,3328.80,0.00,3328.80,0.00
DEPENSES,21752,Installations de voirie,IMMOBILISATIONS CORPORELLES,0.00,0.00,30000.00,0.00,30000.00,0.00
DEPENSES,2181,Installations générales agencements et aménag,IMMOBILISATIONS CORPORELLES,0.00,6643.80,0.00,0.00,0.00,0.00
DEPENSES,21828,Matériel de transport,IMMOBILISATIONS CORPORELLES,128009.12,131509.36,62000.00,102.73,-66009.12,-51.57
